house_area_sqft,lot_area_sqft,bedrooms,bathrooms,year_built,overall_quality,garage_capacity,basement_area_sqft,distance_to_city_center_km,neighborhood,renovation_status,sale_price
2276.0,6818.0,6.0,4.5,1972.0,7.0,2.0,1391.0,11.0,Yeka,Not renovated,1236544.0
1910.0,6308.0,5.0,4.0,1986.0,5.0,2.0,604.0,16.9,Nifas Silk,Partially renovated,824039.0
1900.0,4385.0,3.0,2.0,1993.0,7.0,2.0,0.0,6.0,Lideta,Not renovated,927803.0
1850.0,6478.0,3.0,2.0,2007.0,8.0,2.0,1518.0,5.7,Lideta,,936696.0
1067.0,3637.0,2.0,2.0,1960.0,3.0,1.0,530.0,1.3,Arada,Fully renovated,559547.0
1967.0,5601.0,4.0,3.5,1963.0,4.0,2.0,511.0,10.9,Bole,Fully renovated,974215.0
978.0,3932.0,1.0,1.0,2005.0,6.0,0.0,727.0,2.6,,Fully renovated,749356.0
1183.0,5451.0,4.0,3.5,1956.0,6.0,3.0,,1.2,Yeka,Not renovated,713088.0
2414.0,4317.0,6.0,4.0,1986.0,6.0,2.0,0.0,6.7,Bole,Not renovated,1399561.0
2063.0,5413.0,5.0,4.0,1998.0,5.0,3.0,488.0,9.1,Bole,Fully renovated,1181184.0
2570.0,9853.0,6.0,5.0,2003.0,8.0,2.0,1635.0,10.8,Arada,Partially renovated,1482470.0
1413.0,5931.0,4.0,3.5,1992.0,7.0,2.0,1008.0,3.4,Bole,Not renovated,964298.0
1048.0,3489.0,2.0,2.0,1988.0,6.0,0.0,850.0,3.1,Arada,Not renovated,538968.0
1428.0,1795.0,3.0,3.5,2012.0,8.0,1.0,,5.4,Arada,Not renovated,991645.0
1605.0,5615.0,4.0,3.0,2001.0,7.0,0.0,962.0,4.1,Yeka,Partially renovated,970476.0
1592.0,2720.0,3.0,2.0,1982.0,5.0,0.0,767.0,6.8,Kirkos,Fully renovated,933931.0
2279.0,8014.0,6.0,4.0,1996.0,7.0,3.0,0.0,5.4,Bole,Not renovated,1310627.0
1371.0,4002.0,3.0,2.5,2003.0,5.0,2.0,1126.0,2.4,Arada,Not renovated,744707.0
1747.0,6527.0,5.0,2.5,2024.0,8.0,2.0,1054.0,11.0,Bole,Not renovated,1105338.0
1108.0,4297.0,2.0,1.5,2011.0,6.0,2.0,503.0,6.8,Lideta,Partially renovated,513204.0
1806.0,6360.0,4.0,3.0,2019.0,6.0,2.0,0.0,9.0,Nifas Silk,Not renovated,726319.0
1552.0,4858.0,3.0,3.0,1983.0,5.0,2.0,0.0,2.5,Lideta,Not renovated,752832.0
1201.0,,3.0,2.5,1985.0,8.0,2.0,895.0,6.7,Lideta,Partially renovated,807210.0
1431.0,5973.0,3.0,2.0,1990.0,6.0,2.0,420.0,7.9,Nifas Silk,Not renovated,817040.0
1456.0,5940.0,3.0,3.0,1992.0,6.0,2.0,600.0,5.3,Bole,Partially renovated,972231.0
1414.0,1987.0,3.0,3.0,1975.0,6.0,1.0,1026.0,2.0,Bole,Partially renovated,889741.0
2831.0,8983.0,6.0,4.0,2020.0,7.0,3.0,1576.0,4.9,Kirkos,Not renovated,1458812.0
1499.0,,3.0,2.0,2013.0,7.0,0.0,0.0,7.4,Arada,Partially renovated,714267.0
1427.0,6845.0,3.0,1.5,1989.0,7.0,2.0,529.0,9.4,Nifas Silk,,557474.0
